customer_id,split,segment,tenure_months,monthly_spend,support_tickets_90d,discount_rate,usage_sessions_30d,late_delivery_count_90d,churned
C001,train,SMB,3,82,5,0.30,4,3,1
C002,train,SMB,7,96,4,0.25,6,2,1
C003,train,Enterprise,26,310,1,0.05,42,0,0
C004,train,MidMarket,18,185,1,0.08,31,0,0
C005,train,SMB,4,75,3,0.22,7,2,1
C006,train,Enterprise,33,420,0,0.03,58,0,0
C007,train,MidMarket,6,160,3,0.18,12,1,1
C008,train,SMB,22,118,1,0.07,28,0,0
C009,train,Enterprise,6,355,4,0.28,9,3,1
C010,train,MidMarket,14,205,2,0.11,24,1,0
C011,train,SMB,2,69,5,0.35,3,4,1
C012,train,Enterprise,41,515,1,0.04,63,0,0
C013,train,MidMarket,7,175,4,0.21,11,2,1
C014,train,SMB,16,105,1,0.09,26,0,0
C015,train,Enterprise,7,390,3,0.16,19,1,1
C016,train,MidMarket,29,240,0,0.02,47,0,0
C017,train,SMB,15,88,2,0.14,18,1,0
C018,train,Enterprise,8,450,5,0.32,10,3,1
C019,train,MidMarket,24,215,1,0.06,35,0,0
C020,train,SMB,6,98,2,0.12,17,1,1
C021,test,SMB,4,84,4,0.27,5,3,1
C022,test,Enterprise,37,480,0,0.04,55,0,0
C023,test,MidMarket,8,170,3,0.19,13,2,1
C024,test,SMB,21,120,1,0.06,29,0,0
C025,test,Enterprise,9,405,4,0.24,12,2,1
C026,test,MidMarket,27,230,1,0.05,41,0,0
C027,test,SMB,6,92,2,0.13,20,1,0
C028,test,Enterprise,7,460,5,0.31,8,3,1
C029,test,MidMarket,15,190,2,0.10,22,1,0
C030,test,SMB,3,72,5,0.34,4,4,1
