production_date,area,work_center,product_family,lots_started,lots_completed,good_units,total_units,planned_minutes,runtime_minutes,downtime_minutes,ideal_cycle_seconds,units_processed,avg_cycle_time_hours,wip_lots,orders_due,orders_on_time,rework_lots,scrap_units
2026-04-01,wafer_sort,WS-01,PowerIC,18,16,18400,19200,960,842,78,1.95,24800,38.5,62,18,16,2,800
2026-04-01,assembly,ASM-02,PowerIC,20,17,17150,18500,960,801,96,2.00,23100,44.2,74,20,17,3,1350
2026-04-01,final_test,FT-03,Sensor,16,15,14620,15200,960,826,54,2.35,20300,31.8,49,15,14,1,580
2026-04-02,wafer_sort,WS-01,PowerIC,19,18,20680,21400,960,870,42,1.95,25700,36.7,58,19,18,1,720
2026-04-02,assembly,ASM-02,PowerIC,22,18,17640,19200,960,760,132,2.00,21800,49.6,83,22,18,4,1560
2026-04-02,final_test,FT-03,Sensor,17,16,15620,16100,960,848,38,2.35,21100,30.5,45,16,15,1,480
2026-04-03,wafer_sort,WS-01,PowerIC,20,18,20430,21300,960,861,56,1.95,25200,37.1,60,20,18,2,870
2026-04-03,assembly,ASM-02,PowerIC,21,17,16590,18400,960,724,158,2.00,20500,53.4,91,21,16,5,1810
2026-04-03,final_test,FT-03,Sensor,18,17,16580,17100,960,852,44,2.35,21400,30.1,43,17,16,1,520
2026-04-04,wafer_sort,WS-01,PowerIC,18,17,19510,20200,960,858,48,1.95,25100,35.9,57,18,17,1,690
2026-04-04,assembly,ASM-02,PowerIC,19,18,17890,19000,960,792,104,2.00,22600,46.8,80,19,17,3,1110
2026-04-04,final_test,FT-03,Sensor,16,15,14730,15100,960,835,52,2.35,20700,31.2,44,15,15,0,370
2026-04-05,wafer_sort,WS-01,PowerIC,21,20,23010,23800,960,884,36,1.95,26400,34.6,53,21,20,1,790
2026-04-05,assembly,ASM-02,PowerIC,22,19,18970,20200,960,815,88,2.00,23700,45.5,77,22,19,2,1230
2026-04-05,final_test,FT-03,Sensor,18,17,16720,17200,960,862,40,2.35,21600,29.8,41,17,17,0,480
