customer_id,risk_band,risk_score,tenure_months,monthly_spend,support_tickets_90d,usage_sessions_30d,coupon,retained_30d
H001,high,0.88,3,72,5,4,1,1
H002,high,0.82,5,95,4,7,1,1
H003,high,0.79,6,110,4,8,1,1
H004,high,0.86,2,68,6,3,1,0
H005,high,0.74,7,140,3,10,1,0
H006,high,0.81,4,88,5,6,1,0
H007,high,0.76,6,118,4,9,0,0
H008,high,0.73,8,130,3,11,0,0
M001,medium,0.58,11,160,3,16,1,1
M002,medium,0.53,13,175,2,18,1,1
M003,medium,0.49,15,190,2,21,1,1
M004,medium,0.46,18,205,1,24,1,1
M005,medium,0.56,12,165,2,17,0,1
M006,medium,0.51,16,180,2,20,0,1
M007,medium,0.47,19,195,1,23,0,1
M008,medium,0.44,20,210,1,25,0,0
L001,low,0.28,26,230,1,33,1,1
L002,low,0.23,30,255,0,39,1,1
L003,low,0.26,24,220,1,31,0,1
L004,low,0.21,32,270,0,42,0,1
L005,low,0.19,36,295,0,45,0,1
L006,low,0.17,40,310,0,48,0,1
L007,low,0.15,45,340,0,52,0,1
L008,low,0.12,50,360,0,56,0,1
