order_id,customer_id,product_id,order_date,quantity,promised_date,actual_date,channel,priority
O001,C001,P001,2026-03-01,4,2026-03-05,2026-03-05,Direct,High
O002,C002,P003,2026-03-02,20,2026-03-06,2026-03-07,Partner,Normal
O003,C003,P002,2026-03-03,2,2026-03-08,2026-03-08,Direct,High
O004,C004,P004,2026-03-04,3,2026-03-09,2026-03-12,Online,Normal
O005,C001,P003,2026-03-07,15,2026-03-10,2026-03-10,Direct,Normal
O006,C005,P002,2026-03-08,1,2026-03-12,2026-03-11,Partner,High
O007,C006,P001,2026-03-10,5,2026-03-14,2026-03-16,Online,Normal
O008,C002,P004,2026-03-12,2,2026-03-17,2026-03-17,Partner,Normal
O009,C003,P003,2026-03-14,30,2026-03-18,2026-03-19,Direct,Normal
O010,C004,P001,2026-03-16,3,2026-03-20,2026-03-20,Online,High
O011,C005,P004,2026-03-18,4,2026-03-23,2026-03-25,Direct,High
O012,C006,P002,2026-03-21,2,2026-03-26,2026-03-26,Partner,Normal
