order_id,customer_id,product_id,order_date,quantity,promised_date,actual_date,channel,priority
O101,C001,P001,2026-04-01,4,2026-04-05,2026-04-05,Direct,High
O102,C002,P003,2026-04-02,0,2026-04-06,2026-04-07,Partner,Normal
O103,C999,P002,2026-04-03,2,2026-04-08,2026-04-08,Direct,High
O103,C003,P002,2026-04-04,2,2026-04-09,2026-04-09,Direct,High
O105,C004,P004,2026-04-05,3,2026-04-02,2026-04-10,Online,Normal
O106,C005,P999,2026-04-06,1,2026-04-12,2026-04-11,Partner,High
O107,C006,P001,2026-04-07,5,2026-04-14,,Marketplace,Normal
O108,,P003,2026-04-08,7,2026-04-12,2026-04-13,Direct,Urgent
O109,C001,P003,2026-04-09,-2,2026-04-11,2026-04-10,Direct,Normal

